HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	Orphanet ID	OMIM ID
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein	1		138670
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	503538		
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor	29974		618199
HGNC:7	Approved	A2M	alpha-2-macroglobulin	2		103950
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1	144571		
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	144568	410627	610627
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1	100874108		
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2	106478979		
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	3		
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	127550		
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947		607922
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146		616709
HGNC:1	Entry Withdrawn	A12M1	adenovirus-12 chromosome modification site 1C			
HGNC:2	Entry Withdrawn	A12M2	adenovirus-12 chromosome modification site 1A			
HGNC:3	Entry Withdrawn	A12M3	adenovirus-12 chromosome modification site 1B			
HGNC:4	Entry Withdrawn	A12M4	adenovirus-12 chromosome modification site 17			
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin	8086	117613	605378
HGNC:12	Entry Withdrawn	AABT	amino acid transport, beta			
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase	65985		614364
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522		
HGNC:17	Approved	AADAC	arylacetamide deacetylase	13		600338
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2	344752		
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1	101928142		
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3	126767		
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4	343066		
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1	201651		
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase	51166		611754
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein	79719	317366	614888
HGNC:19679	Approved	AAK1	AP2 associated kinase 1	22848		616405
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	28971		
HGNC:18	Approved	AAMP	angio associated migratory cell protein	14		603488
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase	15	469884	600950
HGNC:15886	Approved	AAR2	AAR2 splicing factor	25980		617365
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	441376		
HGNC:20	Approved	AARS1	alanyl-tRNA synthetase 1	16	232194	601065
HGNC:49894	Approved	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	106480683		
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	269639	612035
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1	80755		613212
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase	132949		614365
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496		607756
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase	10157	123389	605113
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer	284837		
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor	26574		608463
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase	9625		605276
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1	17		102699
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294		
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase	18	117617	137150
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	19	159528	600046
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	20		600047
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	21	140560	601615
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	24	117623	601691
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5	23461	404800	612503
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6	23460		612504
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7	10347		605414
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8	10351		612505
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9	10350		612507
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1	104355297		
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10	10349	469886	612508
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963		
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	26154	117620	607800
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13	154664		607807
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655		
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	5243	318801	171050
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	5244	117639	171060
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5	340273		611785
