Gene	Inheritance
	AR
MBS1	AD
ELANE	AD
AGL	AR
AGK	AR
NFIA	AD
DEL19q13.11d	AD
RNF13	AD
SSR4	XLR
CHD8	AD
NIPA1	AD
COX20	AR
RUBCN	AR
AGA	AR
PYCR1	AR
KHDC3L	AR
B2M	AR, AD
DUOXA2	AR
OFC14	AR
LIFR	AR
SCZD2	AD
DFNA31	AD
FHII	AD
IGKC	AR
AGT	AR, Multifactorial
ASS1	AR
TRIO	AD
Caused by duplication of 0.25 to 1.08 Mb on chromosome 5p13 {UMLS C2750970}	Isolated cases
DDH2	AD
G2	AR, X-linked
G1	AR, AD
GPR180	AD
PIK3CA	Somatic, Somatic mutation, Somatic mosaic, AD
SPR	AR
SLC28A1	AR
PRNP	'Slow virus' etiology with  genetic factors, AD
DUP17q23.1q23.2	AD
PPNAD4	AD
CEP164	AR
ZSWIM6	AD
CRBN	AR
SPTLC2	AD
ZC3H14	AR
SPTLC1	AD
IRX5	AR
GRIN1	AR, AD
HSPA9	Autosomal dominant (another allele in trans may be required), AR
C2CD3	AR
C13	AR
IQCB1	AR
CBX2	AR
ADHD3	AD
CYP4F22	AR
XPC	AR
DEL4q21	Isolated cases
A contiguous gene syndrome caused by deletion (1.5Mb - 3.0Mb) of 22q11.2 {UMLS C3277699}	AD
NUP93	AR
DEL17q11.2	AD
PPP2R2B	AD
OPA6	AR
OPA2	X-linked
OPA3	AR, AD
OPA1	AR, AD
CEP83	AR
113A	XLD
OPA8	AD
PHA2A	AD
TRAPPC9	AR
PTRH2	AR
COL7A1	AR, AD
CTRC	AD
JPH3	AD
FUT1	AR
C12ORF57	AR
TRAPPC2	XLR
DEL19q13.11p	AD
PRPH	AD
AMCN	AR
OFC13	AD
MAG	AR
MAF	AD
CTBP1	AD
NTHL1	AR
ADH1C	AD, Probably multifactorial, genetically influenced
S3	AR
DFNA33	AD
ITGA8	AR
BEN	AD
ATP2A1	AR
ATP2A2	AD
ALDH3A2	AR
CRB1	AR, Autosomal dominant vs. X-linked
ITGA2	AD
ITGA3	AR
BED	XLR
ARG1	AR
EDC3	AR
ARID1A	AD
APOA5	AD
IQSEC2	XLD
GPRASP2	XLR
APOA1	AD
APOA2	AD
UFSP2	AD
ATHS	AD
10B	AR
TTR	AD
10A	AR, AD
CSNK2A1	AD
SPTA1	AR, AD
CGF1	X-linked imprinting
PAM16	AR
ADRB3	AD
MYPN	AR, AD
LSS	AR
TMEM260	AR
AP3D1	AR
NMB	AR
FIBP	AR
HYT2	Multifactorial
CRTAP	AR
FAM123B	XLD
MYP8	Multifactorial
PRSS56	AR
Contiguous gene syndrome involving deletion of 2.63 Mb on chromosome 5q12 {UMLS C4014135}	AD
MYP2	AD
MYP3	AD
MPV17	AR
BDMR	AD
ITGA7	AR
MYP7	Multifactorial
MYP5	AD
COL4A6	XLR, X-linked
COL4A5	XLD, X-linked
GCCD3	AR
COL4A3	AR, AD
MLLT10	AD
THCYTX	XLR
GRN	AR, AD
HMCN1	AD
NECAP	AR
GARS	AD
CHST6	AR
TEX15	AR
RPS6KA3	XLD
KCNH1	AD
KCNH2	AD
SOD-1	AD
SLC26A3	AR
NOG	AD
ATAD1	AR
KRT17	AD
SIGMAR1	AR
TCIRG1	AR
GSM1	AD
RAG1	AR
NR0B2	AD
TMEM199	AR
MINPP1	AD
GBA	AR, AD
FOXC2	AD
FOXC1	AD
TCOF1	AD
GANAB	AD
CD40LG	XLR
SMAD9	AD
NUP133	AR
GHRL	AD
SMAD4	AD
PIK3CD	AD
SMAD6	Autosomal dominant (see qualifier below), AD
KRT16	AD
VAPB	AD
ALMS1	AR
NPHP3	AR
SC5D	AR
NPHP1	AR
NDUFAF6	AR
NDUFAF1	AR
NDUFAF3	AR
FKTN	AR
IL1RAPL1	XLR
IGF2R	Somatic mutation
CTH	AR
E2T	AR
SPART	AR
GDAP1	AR
GPT2	AR
ARF1	AD
FYCO1	AR
BLM	AR
SPARC	AR
KTCN8	AD
E2A	XLR
DA10	AD
WHS	Isolated cases
GNAO1	AD
EIF2S3	XLR
ECTD6	AR
TUBB2B	AD
ANIC	AD
KTCN6	AD
KTCN5	AD
PKRL	AR
SCN11A	AD
ILDR1	AR
CDAGS	AR
MYLK2	AD
TGM6	AD
S4	AR
COX4I2	AR
PRKAR1A	AD
V	AR, AD
SLC22A1L	AD
SAR1B	AR
C19orf12	AR
NOL3	AD
CFAP300	AR
LOXHD1	AR
EDA	XLD, XLR
COL18A1	AR
REPS1	AR
FAM20A	AR
CCDC114	AR
No known molecular basis.	Y-linked, Autosomal recessive, sex-influenced, Autosomal recessive vs. autoimmune, Mitochondrial., Genetic, Uncertain., Autosomal recessive, more likely multifactorial, Autosomal dominant with variable expressivity and incomplete penetrance, Multifactorial vs. autosomal or X-linked dominant, Sex-influenced autosomal dominant form, Autosomal dominant vs. X-linked dominant with lethality in hemizygous males, Usually sporadic, Autosomal dominant (15q22-qter), Mendelian, Y-linked (pericentromeric vs. Yq), Familial tendency independent of association with MEN-1, Autosomal dominant (19q13.1-qter), Diabetes teratogenicity, Autosomal dominant;
