Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
	SC PHOCOMELIA SYNDROME	AR	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, neurologicCentralNervousSystem, headAndNeckMouth, cardiovascularHeart, skinNailsHairHair
MBS1	MOEBIUS SYNDROME; MBS	AD	skeletalPelvis, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, headAndNeckNeck, respiratoryNasopharynx, skinNailsHairNails, neurologicCentralNervousSystem, endocrineFeatures, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, skeletalLimbs, genitourinaryExternalGenitaliaMale, voice
ELANE	NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOSOMAL DOMINANT; SCN1 | CYCLIC NEUTROPENIA	AD	immunology, hematology
AGL	GLYCOGEN STORAGE DISEASE III; GSD3	AR	growthOther, cardiovascularHeart, growthHeight, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures, abdomenLiver
AGK	SENGERS SYNDROME | CATARACT 38; CTRCT38	AR	growthOther, respiratory, cardiovascularHeart, hematology, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
NFIA	BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD	AD	skinNailsHairSkin, genitourinaryBladder, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckFace, headAndNeckNose, muscleSoftTissue, genitourinaryKidneys
DEL19q13.11d	CHROMOSOME 19q13.11 DELETION SYNDROME, DISTAL	AD	skinNailsHairSkin, growthOther, chestBreasts, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, prenatalManifestationsDelivery, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, headAndNeckHead, muscleSoftTissue, skinNailsHairNails, genitourinaryExternalGenitaliaFemale, skinNailsHairHair
RNF13	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 73; EIEE73	AD	growthOther, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletal, headAndNeckFace, headAndNeckNose, headAndNeckEyes, skeletalSpine, muscleSoftTissue, skeletalLimbs
SSR4	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy; CDG1Y	XLR	growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, hematology, headAndNeckFace, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, headAndNeckNeck, respiratory, skeletal, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skeletalSpine, muscleSoftTissue
CHD8	AUTISM, SUSCEPTIBILITY TO, 18; AUTS18	AD	neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, neurologicBehavioralPsychiatricManifestations, growthHeight, headAndNeckEyes
NIPA1	SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT; SPG6	AD	genitourinaryBladder, skeletalFeet, neurologicCentralNervousSystem
COX20	MITOCHONDRIAL COMPLEX IV DEFICIENCY	AR	growthOther, respiratory, genitourinaryKidneys, headAndNeckEars, hematology, cardiovascularHeart, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
RUBCN	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 15; SCAR15	AR	neurologicCentralNervousSystem, headAndNeckEyes, neurologicPeripheralNervousSystem
AGA	ASPARTYLGLUCOSAMINURIA; AGU	AR	skinNailsHairSkin, skeletalSkull, headAndNeckHead, abdomenGastrointestinal, abdomenExternalFeatures, cardiovascularHeart, growthHeight, hematology, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, skeletalLimbs, abdomenLiver, neurologicCentralNervousSystem, immunology, skeletal, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalSpine, voice
PYCR1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB; ARCL2B	AR	skinNailsHairSkin, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, skeletalSpine
KHDC3L	HYDATIDIFORM MOLE, RECURRENT, 2; HYDM2	AR	prenatalManifestationsPlacentaAndUmbilicalCord
B2M	AMYLOIDOSIS, FAMILIAL VISCERAL | IMMUNODEFICIENCY 43; IMD43	AR, AD	skinNailsHairSkin, respiratory, immunology, laboratoryAbnormalities, respiratoryLung, skeletalLimbs
DUOXA2	THYROID DYSHORMONOGENESIS 5; TDH5	AR	headAndNeckNeck, neurologicCentralNervousSystem, endocrineFeatures, laboratoryAbnormalities
OFC14	OROFACIAL CLEFT 14; OFC14	AR	headAndNeckMouth, headAndNeckTeeth
LIFR	STUVE-WIEDEMANN SYNDROME; STWS	AR	skinNailsHairSkin, skeletalPelvis, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, respiratoryLung, headAndNeckNeck, skeletalLimbs, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, muscleSoftTissue, voice, metabolicFeatures
SCZD2	SCHIZOPHRENIA; SCZD	AD	neurologicCentralNervousSystem, laboratoryAbnormalities
DFNA31	DEAFNESS, AUTOSOMAL DOMINANT 31; DFNA31	AD	headAndNeckEars
FHII	HYPERALDOSTERONISM, FAMILIAL, TYPE II; HALD2	AD	cardiovascularVascular, laboratoryAbnormalities
IGKC	IMMUNOGLOBULIN KAPPA LIGHT CHAIN DEFICIENCY; IGKCD	AR	respiratory, immunology, abdomenGastrointestinal
AGT	RENAL TUBULAR DYSGENESIS; RTD | HYPERTENSION, ESSENTIAL	AR, Multifactorial	headAndNeckFace, prenatalManifestationsAmnioticFluid, cardiovascularVascular, genitourinaryKidneys, skeletalSkull, respiratoryLung, headAndNeckHead
ASS1	CITRULLINEMIA, CLASSIC	AR	growthOther, neurologicCentralNervousSystem, laboratoryAbnormalities, abdomenGastrointestinal, neurologicBehavioralPsychiatricManifestations, abdomenLiver, metabolicFeatures
TRIO	MENTAL RETARDATION, AUTOSOMAL DOMINANT 44; MRD44	AD	neurologicCentralNervousSystem, immunology, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalSpine, neurologicBehavioralPsychiatricManifestations
Caused by duplication of 0.25 to 1.08 Mb on chromosome 5p13 {UMLS C2750970}	CHROMOSOME 5p13 DUPLICATION SYNDROME	Isolated cases	skeletalSkull, headAndNeckHead, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, growthWeight, neurologicCentralNervousSystem, headAndNeckMouth, skeletalSpine, muscleSoftTissue, skinNailsHairHair
DDH2	DEVELOPMENTAL DYSPLASIA OF THE HIP 2; DDH2	AD	skeletalPelvis
G2	VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF, X-LINKED; CBAVDX | COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 39; COXPD39 | KHAN-KHAN-KATSANIS SYNDROME; 3KS	AR, X-linked	skinNailsHairSkin, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, genitourinaryKidneys, neurologicCentralNervousSystem, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, genitourinaryBladder, cardiovascularHeart, genitourinaryUreters, skeletalSpine, muscleSoftTissue, prenatalManifestationsPlacentaAndUmbilicalCord
G1	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1 | RETT SYNDROME, CONGENITAL VARIANT	AR, AD	growthOther, respiratory, headAndNeckHead, abdomenGastrointestinal, skeletalFeet, headAndNeckMouth, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, skeletalLimbs, metabolicFeatures
GPR180	MICROCORIA, CONGENITAL	AD	headAndNeckEyes
